ID,hospital/non-hospital,public/private,urban/rural,GW1,GW2,GW3,GS1,GS2,GS3,GS4,GS5,GS6,GH1,GH2,GWM1,WGM2,GWM3,GC1,GC2
192,Hospital,Public,Urban,Protected dug well,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,No,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub",Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"Yes, all have been trained"
193,Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
194,Hospital,Private,Rural,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
195,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
196,Non-Hospital,Public,Urban,No water source or patients bring water from home,500 m or further,No,pit latrine with slab,No,No,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
197,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub",Yes,"No, bins are not present ",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
198,Non-Hospital,Private,Rural,Protected dug well,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, some but not all have been trained"
199,Non-Hospital,Public,Rural,Tanker truck,On premises,Yes,pit latrine with slab,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
200,Non-Hospital,Private,Rural,Protected dug well,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
201,Non-Hospital,Public,Urban,Tanker truck,500 m or further,Yes,pit latrine with slab,Yes,No,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Burning in a protected pit,Yes,"No, none have been trained"
202,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Burning in a protected pit,No,"No, none have been trained"
203,Non-Hospital,Private,Rural,Protected dug well,500 m or further,No,Pit latrine without slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,Not treated and added to general waste,No,"No, some but not all have been trained"
204,Non-Hospital,Public,Rural,Protected dug well,On premises,No,Pit latrine with slab,No,No,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,Incinerated (other),No,"No, there are no staff responsible for cleaning "
205,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",Yes,"No, some but not all have been trained"
206,Hospital,Public,Urban,Tanker truck,On premises,Yes,pit latrine with slab,Yes,Yes,No,No,No,Yes,Yes,"No, bins are not present ",Burning in a protected pit,Burning in a protected pit,Yes,"No, some but not all have been trained"
207,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,No,No,No,Yes,Yes,"No, bins are not present ",Incinerated (other),Burning in a protected pit,No,"No, some but not all have been trained"
208,Non-Hospital,Public,Rural,No water source or patients bring water from home,On premises,No,pit latrine with slab,No,No,Yes,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Not treated and added to general waste,Not treated and added to general waste,No,"No, none have been trained"
209,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,No,other,No,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,No,"No, there are no staff responsible for cleaning "
210,Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Not treated and added to general waste,No,"No, some but not all have been trained"
211,Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"No, bins are not present ",Incinerated (other),Other,No,"No, none have been trained"
212,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub",Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"No, some but not all have been trained"
213,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,No,"No, none have been trained"
214,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
215,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,No,No,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
216,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins","Not treated, but burried in lined, protected pit",Burning in a protected pit,No,"No, none have been trained"
217,Non-Hospital,Public,Rural,Tanker truck,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",No,"No, some but not all have been trained"
218,Hospital,Public,Urban,Tanker truck,Up to 500 m,Yes,pit latrine with slab,Yes,Yes,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,Yes,"Yes, all have been trained"
219,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Open burning ,Open burning ,No,"No, some but not all have been trained"
220,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"No, none have been trained"
221,Non-Hospital,Public,Rural,Protected dug well,On premises,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
222,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,Yes,"No, some but not all have been trained"
223,Non-Hospital,Private,Urban,Tanker truck,On premises,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,Yes,"No, none have been trained"
224,Non-Hospital,Private,Rural,Piped Supply Outside the building ,500 m or further,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,"Not treated, but buried in lined, protected pit",No,"No, there are no staff responsible for cleaning "
225,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
226,Non-Hospital,Public,Rural,Rainwater,Up to 500 m,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,Other,No,"No, there are no staff responsible for cleaning "
227,Hospital,Public,Urban,Tube well/Borehole,On premises,No,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
228,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"No, bins are not present ",Other,Other,No,"No, none have been trained"
229,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,Yes,"No, none have been trained"
230,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, none have been trained"
231,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"No, bins are not present ",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
232,Non-Hospital,Public,Urban,Protected dug well,On premises,Yes,pit latrine with slab,No,No,No,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),"Not treated, but buried in lined, protected pit",No,"No, some but not all have been trained"
233,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Incinerated (other),Yes,"No, none have been trained"
234,Hospital,Public,Rural,Piped Supply inside the building ,Up to 500 m,No,Flush/Pour-flush toilet to tank or pit,No,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,"Not treated, but buried in lined, protected pit",Yes,"Yes, all have been trained"
235,Hospital,Public,Urban,Tube well/Borehole,500 m or further,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, there are no staff responsible for cleaning "
236,Non-Hospital,Public,Urban,Tanker truck,Up to 500 m,Yes,pit latrine with slab,Yes,Yes,Yes,Yes,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub",Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Open burning ,No,"No, none have been trained"
237,Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"Yes, all have been trained"
238,Non-Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",No,"No, some but not all have been trained"
239,Non-Hospital,Public,Rural,Protected dug well,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,Yes,"No, none have been trained"
240,Hospital,Private,Rural,Piped Supply inside the building ,Up to 500 m,No,Flush/Pour-flush toilet to tank or pit,No,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Incinerated (other),Incinerated (other),No,"No, none have been trained"
241,Hospital,Private,Rural,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,Yes,yes,"No, no hand hygiene facilities at points of care","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
242,Non-Hospital,Private,Urban,Tube well/Borehole,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, none have been trained"
243,Non-Hospital,Private,Urban,Tube well/Borehole,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Burning in a protected pit,No,"No, none have been trained"
244,Non-Hospital,Private,Urban,Other,500 m or further,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,Other,No,"No, none have been trained"
245,Hospital,Public,Urban,Protected dug well,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,Yes,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"Yes, all have been trained"
246,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,No,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Burning in a protected pit,No,"No, some but not all have been trained"
247,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,Yes,"Yes, all have been trained"
248,Hospital,Private,Urban,Tanker truck,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Open burning ,Yes,"Yes, all have been trained"
249,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
250,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
251,Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",Yes,"Yes, all have been trained"
252,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,Yes,Yes,"No, bins are not present ",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",Yes,"No, some but not all have been trained"
253,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
254,Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,Yes,"Yes, all have been trained"
255,Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,Pit latrine without slab,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care",Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, there are no staff responsible for cleaning "
256,Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,Yes,"No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",No,"Yes, all have been trained"
257,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
258,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
259,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Other,No,"No, none have been trained"
260,Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,Yes,No,Yes,No,Yes,Yes,"No, bins are not present ",Open burning ,Open burning ,Yes,"No, some but not all have been trained"
261,Non-Hospital,Private,Urban,Tube well/Borehole,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, none have been trained"
262,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Open burning ,Incinerated (other),No,"No, none have been trained"
263,Non-Hospital,Private,Urban,Tube well/Borehole,On premises,Yes,pit latrine with slab,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, none have been trained"
264,Non-Hospital,Private,Rural,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, there are no staff responsible for cleaning "
265,Non-Hospital,Private,Rural,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
266,Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,Yes,"Yes, all have been trained"
267,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,No,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"Yes, all have been trained"
268,Hospital,Private,Rural,No water source or patients bring water from home,500 m or further,No,pit latrine with slab,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, none have been trained"
269,Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,pit latrine with slab,Yes,Yes,Yes,Yes,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub",Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,"Not treated, but buried in lined, protected pit",Yes,"No, none have been trained"
270,Non-Hospital,Private,Urban,Tanker truck,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"Yes, all have been trained"
271,Non-Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,Pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"No, none have been trained"
272,Hospital,Public,Rural,Protected dug well,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,Not treated and added to general waste,No,"No, there are no staff responsible for cleaning "
273,Non-Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, some but not all have been trained"
274,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,No,Yes,No,No,Yes,Yes,"No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
275,Non-Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,pit latrine with slab,Yes,No,Yes,No,No,Yes,Yes,"No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
276,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,Yes,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
277,Non-Hospital,Private,Rural,Protected dug well,500 m or further,Yes,pit latrine with slab,No,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Burning in a protected pit,Open burning ,No,"No, none have been trained"
278,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",No,"No, there are no staff responsible for cleaning "
279,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,No,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",Yes,"No, none have been trained"
280,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Burning in a protected pit,"Not treated, but buried in lined, protected pit",No,"Yes, all have been trained"
281,Non-Hospital,Public,Rural,Rainwater,500 m or further,No,other,Yes,Yes,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,Open burning ,No,"Yes, all have been trained"
282,Hospital,Private,Urban,Tube well/Borehole,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"No, bins are not present ",Open burning ,Open burning ,Yes,"No, some but not all have been trained"
283,Non-Hospital,Public,Rural,Protected dug well,500 m or further,No,pit latrine with slab,No,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
284,Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
